"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"File","Properties","⌘I","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Navigate","Forward History","⌘]","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Project","Build All","⌘B","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Run TestNG Suite","⇧⌥X G","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"View","Zoom Out","⌘-","In Windows"
"Edit","Delete","⌦","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"File","Print","⌘P","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Backward History","⌘[","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Window","Next Perspective","⌘F8","In Windows"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"Run/Debug","Coverage Last Launched","⇧⌃F11","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Run TestNG Test","⇧⌥X N","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Edit","Find Next","⌘K","Editing Text"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Run/Debug","Debug TestNG Suite","⇧⌥D G","In Windows"
"Text Editing","Line Start","↖","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Coverage TestNG Suite","⇧⌥E G","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"File","Rename","F2","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"File","Refresh","F5","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Activate Editor","⌘F12","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Edit","Incremental Find","⌘J","Editing Text"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Next","⌘.","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Coverage Eclipse Application","⇧⌥E E","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing Java Source"
"Text Editing","Line End","↘","Editing Text"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Open Type","⇧⌘T","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Window","Next View","⌘F7","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Run/Debug","Coverage Scala Application","⇧⌥E L","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Window","Update Project","⌥F5","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Edit","Word Completion","⌃.","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"File","Save","⌘S","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Run/Debug","Coverage TestNG Test","⇧⌥E N","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Run/Debug","Coverage JUnit Plug-in Test","⇧⌥E P","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Text Editing","Select Line Start","⇧↖","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"File","Close","⌘W","In Windows"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Run/Debug","Run to Line","⌘R","Debugging"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Navigate","Forward History","⌥⌘→","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"File","New","⌘N","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Source","Apply Checkstyle fixes","⌥⌘C","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Text Editing","Select Line End","⇧↘","Editing Text"
"Run/Debug","Coverage Java Application","⇧⌥E J","In Windows"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
